,1 quadrant,2 quadrants,3 quadrants
NN (baseline),1498.6167214488069,962.3275940136407,479.15712262723395
CVAE (Monte Carlo),-2294.7430302921575,-1931.145526922549,-904.8774747513354
Performance gap,3793.3597517409644,2893.47312093619,1384.0345973785693
