,1 quadrant,2 quadrants,3 quadrants
NN (baseline),2545.5704076602437,2551.72803514377,2139.701337235423
CVAE (Monte Carlo),1404.1763604014827,1030.91856252652,530.8423066063049
Performance gap,1141.394047258761,1520.8094726172499,1608.8590306291183
