,1 quadrant,2 quadrants,3 quadrants
NN (baseline),2560.8577814559203,1611.3400434305113,1710.1039001659844
CVAE (Monte Carlo),1412.9161677253894,1040.8325819314098,532.7130184478273
Performance gap,1147.941613730531,570.5074614991015,1177.3908817181573
