,1 quadrant,2 quadrants,3 quadrants
NN (baseline),3197.0662362095645,2499.953127340006,2257.836422271241
CVAE (Monte Carlo),1404.5627687106878,1043.1298732574755,530.057396446935
Performance gap,1792.5034674988767,1456.8232540825306,1727.7790258243062
