,1 quadrant,2 quadrants,3 quadrants
NN (baseline),2682.5066939771364,2877.3620145267573,2544.155305417582
CVAE (Monte Carlo),1409.4551112750848,1020.2687276529427,531.3580114590094
Performance gap,1273.0515827020515,1857.0932868738146,2012.7972939585725
