,1 quadrant,2 quadrants,3 quadrants
NN (baseline),15773.114657173523,6687.012585332219,2608.7520198151706
CVAE (Monte Carlo),-2517.9251907884886,-1268.1455183425269,-613.3241517673285
Performance gap,18291.039847962013,7955.158103674746,3222.0761715824992
