,1 quadrant,2 quadrants,3 quadrants
NN (baseline),2949.668453911242,2536.0457751971844,2881.3116864579174
CVAE (Monte Carlo),1405.8751392303564,1053.8138932785669,524.6909475113256
Performance gap,1543.7933146808857,1482.2318819186175,2356.6207389465917
