,1 quadrant,2 quadrants,3 quadrants
NN (baseline),186.58413481788514,128.993344145461,62.47056834309246
CVAE (Monte Carlo),176.4542586354021,129.63943622820673,65.70390378324369
Performance gap,10.12987618248303,-0.6460920827457244,-3.2333354401512295
