,1 quadrant,2 quadrants,3 quadrants
NN (baseline),15271.785337210464,6670.661982234675,2632.8853482864915
CVAE (Monte Carlo),-1853.1625609961561,-1520.1674289886182,-597.057373826877
Performance gap,17124.94789820662,8190.8294112232925,3229.9427221133683
