,1 quadrant,2 quadrants,3 quadrants
NN (baseline),184.91293739586973,127.74139518859668,62.28187442816104
CVAE (Monte Carlo),176.27907223442492,129.0873353854536,67.37299472455399
Performance gap,8.633865161444817,-1.3459401968569153,-5.091120296392951
