,1 quadrant,2 quadrants,3 quadrants
NN (baseline),67723.21322134585,47071.51872004793,37853.45979557707
CVAE (Monte Carlo),-2015.3345073663388,-1291.5421838729908,-302.53163533507825
Performance gap,69738.54772871219,48363.060903920916,38155.99143091215
