,1 quadrant,2 quadrants,3 quadrants
NN (baseline),1491.323099,966.171187,478.20678759687627
CVAE (Monte Carlo),1374.539472,918.415958,467.0961066785331
Performance gap,116.783627,47.755229,11.110680918343178
