,1 quadrant,2 quadrants,3 quadrants
NN (baseline),186.55129146880617,128.7282457443091,62.47886134869755
CVAE (Monte Carlo),176.12528216572235,129.50077985574643,65.6824893768603
Performance gap,10.426009303083816,-0.7725341114373236,-3.203628028162754
