,1 quadrant,2 quadrants,3 quadrants
NN (baseline),15653.318559055511,6775.972341129193,2468.828862491888
CVAE (Monte Carlo),-1628.8826693696335,-888.2974605864991,-324.72330099782243
Performance gap,17282.201228425143,7664.269801715693,2793.5521634897104
