,1 quadrant,2 quadrants,3 quadrants
NN (baseline),1492.6182330926767,963.1355040918904,478.02986032894245
CVAE (Monte Carlo),-2772.922125380641,-1881.5115116594698,-896.7956176367811
Performance gap,4265.540358473318,2844.6470157513604,1374.8254779657236
