,1 quadrant,2 quadrants,3 quadrants
NN (baseline),16509.2529296875,6656.172145660693,2456.670148075579
CVAE (Monte Carlo),-1786.3146442254892,-1441.8553047545802,-797.0222150418705
Performance gap,18295.567573912987,8098.027450415273,3253.6923631174495
