,1 quadrant,2 quadrants,3 quadrants
NN (baseline),1490.018502,961.5486122594474,478.02966123343276
CVAE (Monte Carlo),,1375.664995,920.4576203465081,467.10396373614714
Performance gap,114.35351,41.09099191293933,10.925697497285626
