,1 quadrant,2 quadrants,3 quadrants
NN (baseline),186.37437170839158,128.75097880500573,62.496322668398534
CVAE (Monte Carlo),176.23442102011782,129.77425528334354,66.46485330502446
Performance gap,10.139950688273757,-1.0232764783378059,-3.9685306366259283
