,1 quadrant,2 quadrants,3 quadrants
NN (baseline),185.74193429185178,127.90191894141249,62.11628545206576
CVAE (Monte Carlo),173.30282865774137,129.06962770699693,66.43562945771141
Performance gap,12.439105634110405,-1.167708765584436,-4.319344005645654
