,1 quadrant,2 quadrants,3 quadrants
NN (baseline),15330.969676642373,6950.834092015276,2546.707493401183
CVAE (Monte Carlo),-1728.7582574911391,-1663.3018209926618,-592.4419487413887
Performance gap,17059.727934133512,8614.135913007938,3139.149442142572
