,1 quadrant,2 quadrants,3 quadrants
NN (baseline),15164.900599665536,6832.902419410194,2511.630131243136
CVAE (Monte Carlo),-2020.7969725002497,-1194.8859683880792,-704.676166765987
Performance gap,17185.697572165787,8027.788387798273,3216.306298009123
